State,Source_Link
Alaska,https://alaskapublic.org/news/health/rural-health/2025-01-21/measles-case-confirmed-on-the-southern-kenai-peninsula
Alaska,https://www.muni.org/Departments/health/PressReleases/Pages/Measles-Case-Confirmed_5-22-2025.aspx
Arkansas,https://healthy.arkansas.gov/article/first-case-of-measles-in-arkansas-identified-since-2018/
Arkansas,https://healthy.arkansas.gov/article/fourth-case-of-measles-in-arkansas-identified-in-2025/
Arkansas,https://healthy.arkansas.gov/article/second-case-of-measles-in-arkansas-identified-in-2025/
Arkansas,https://www.kark.com/news/health-news/arkansas-department-of-health-confirms-third-measles-case-in-state/#:
Arkansas,https://www.kark.com/news/state-news/arkansas-department-of-health-releases-potential-measles-exposure-locations-as-cases-grow/
California,http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=4982
California,https://abc30.com/post/health-officials-confirm-2nd-case-measles-fresno-county/16051705/
California,https://admin.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=5018
California,https://thebusinessjournal.com/fresno-county-announces-first-measles-case-of-2025-warn-of-madera-county-exposure/
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/measles.aspx
California,https://www.desertsun.com/story/news/health/2025/04/03/measles-outbreak-9th-adult-in-california-tests-positive-for-measles-east-riverside-county/82797569007/
California,https://www.kcra.com/article/tuolumne-county-two-confirmed-measles-cases/64236494
California,https://www.ksbw.com/article/california-county-measles-confirm-cases/64344610
California,https://www.latimes.com/california/story/2025-05-07/4th-measles-case-of-the-year-reported-in-la-county
California,https://www.ochealthinfo.com/press/measles-case-orange-county-0
Colorado,https://cdphe.colorado.gov/press-release/fifth-confirmed-measles-case-in-colorado-adult-with-recent-international-travel
Colorado,https://cdphe.colorado.gov/press-release/one-measles-case-confirmed-in-coloradan-with-recent-international-travel
Colorado,https://cdphe.colorado.gov/press-release/one-measles-case-confirmed-in-colorado-resident-with-recent-international-travel
Colorado,"https://coloradonewsline.com/briefs/colorado-community-transmission-measles/#:~:text=Colorado%20health%20officials%20warned%20Tuesday,cases%20in%20Pueblo%20and%20Denver."
Colorado,https://www.cpr.org/2025/04/23/4th-measles-case-colorado/
Florida,https://www.cfpublic.org/health/2025-03-06/confirmed-measles-case-reported-at-miami-palmetto-senior-high-school-in-miami-dade
Florida,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True
Georgia,https://dph.georgia.gov/press-releases/2025-01-28/dph-confirms-measles-case-metro-atlan
Georgia,https://dph.georgia.gov/press-releases/2025-02-07/additional-measles-cases-atlanta
Georgia,https://dph.georgia.gov/press-releases/2025-05-19/dph-confirms-fourth-measles-case-georgia-2025
Hawaii,https://health.hawaii.gov/news/newsroom/doh-confirms-second-case-of-measles-in-hawai_i/
Hawaii,https://health.hawaii.gov/news/newsroom/measles-case-confirmed-in-child-on-o_ahu-doh-notifies-public-of-measles-exposure-locations/
Illinois,https://dph.illinois.gov/resource-center/news/2025/april/release-20250430.html
Illinois,https://dph.illinois.gov/resource-center/news/2025/may/release-20250505.html
Illinois,https://dph.illinois.gov/topics-services/diseases-and-conditions/measles/case-counts.html
Illinois,https://www.illinois.gov/news/press-release.31199.html
Indiana,https://allencountyhealth.com/department/news/additional-measles-cases-confirmed
Indiana,https://allencountyhealth.com/department/news/health-department-confirms-measles-case
Indiana,https://www.wthr.com/article/news/health/2-more-cases-measles-reported-indiana-confirmed-mmr-vaccine-allen-county-unvaccinated/531-ff9b7303-ebe3-454b-b9a8-4d1617cf8980
Kansas,https://www.kdhe.ks.gov/2314/Measles-Data
Kansas,https://www.kwch.com/2025/04/05/new-measles-case-reported-finney-county-adult/
Kentucky,"https://www.chfs.ky.gov/News/Documents/Kentucky%20Health%20Officials%20Report%20Measles%20Case%20in%20Non-Kentucky%20Resident,%20Urge%20Immunizations%20To%20Prevent%20Infectious%20Disease.pdf"
Kentucky,https://www.lfchd.org/21625-ngmiaa/
Louisiana,https://ldh.la.gov/news/R1-measles-case
Maryland,https://health.maryland.gov/newsroom/Pages/One-Case-of-Measles-Confirmed-in-Maryland.aspx
Maryland,https://health.maryland.gov/newsroom/Pages/Two-cases-of-measles-confirmed-in-Maryland-residents-with-recent-international-travel.aspx
Michigan,https://content.govdelivery.com/accounts/KENTCOMI/bulletins/3d93e1e
Michigan,"https://www.clickondetroit.com/news/local/2025/04/10/michigans-fourth-measles-case-of-2025-confirmed-in-montcalm-county/#:~:text=MONTCALM%20COUNTY%2C%20Mich.,(MMDHD)%20on%20April%209."
Michigan,https://www.lansingstatejournal.com/story/news/local/2025/04/15/measles-case-confirmed-ingham-county-michigan/83094573007/
Michigan,https://www.macombgov.org/departments/health-department/news/macomb-county-health-department-reports-local-measles-case
Michigan,https://www.michigan.gov/mdhhs/adult-child-serv/childrenfamilies/immunizations/measlesupdates
Michigan,"https://www.michigan.gov/mdhhs/inside-mdhhs/newsroom/2025/03/14/first-measles-case-in-the-state-confirmed-in-oakland-county#:~:text=OAKLAND, Mich.,first case since July 2024."
Michigan,https://www.michigan.gov/mdhhs/inside-mdhhs/newsroom/2025/04/17/measles-outbreak
Minnesota,https://www.fox9.com/news/minnesota-reports-2nd-measles-case-health-officials-urge-vaccinations
Minnesota,https://www.kare11.com/article/news/local/minnesota-reports-first-measles-case-of-2025/89-ca48893e-8de0-4a0e-954c-5da5bc03239d
Missouri,https://content.govdelivery.com/accounts/MODHSS/bulletins/3df3486
Missouri,https://health.mo.gov/news/newsitem/uuid/58f781a5-e996-4c78-918c-07b00af263cf/case-of-measles-confirmed-in-traveler-to-missouri
Montana,https://dphhs.mt.gov/News/2025/April/MeaslesCasesConfirmedinMontana
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/Measles
New Jersey,https://www.nj.com/healthfit/2025/02/new-measles-cases-tied-to-nj-patient-who-visited-3-health-facilities.html
New Jersey,https://www.nj.gov/health/news/2025/approved/20250214a.shtml
New Mexico,https://www.nmhealth.org/about/erd/ideb/mog/
New Mexico,https://www.nmhealth.org/news/alert/2025/2/?view=2177
New Mexico,https://www.nmhealth.org/news/awareness/2025/3/?view=2191
New Mexico,https://www.nmhealth.org/news/vaccine/2025/2/?view=2180
New Mexico,https://www.nmhealth.org/news/vaccine/2025/3/?view=2190
New Mexico,https://www.nmhealth.org/news/vaccine/2025/4/?view=2198
New York,https://www.health.ny.gov/diseases/communicable/measles/
New York,https://www.health.ny.gov/press/releases/2025/2025-03-11_measles.htm
New York,https://www.health.ny.gov/press/releases/2025/2025-05-08_measles.htm
New York,https://www.nyc.gov/assets/doh/downloads/pdf/han/advisory/2025/han-advisory-5-measles.pdf
New York,https://www.nyc.gov/site/doh/health/health-topics/measles.page
New York,https://www.nytimes.com/article/measles-new-york-new-jersey.html
North Dakota,https://www.hhs.nd.gov/health/data
North Dakota,https://www.hhs.nd.gov/immunizations/measles
North Dakota,https://www.hhs.nd.gov/news/first-case-measles-reported-north-dakota-2011
North Dakota,https://www.hhs.nd.gov/news/new-measles-cases-reported-grand-forks-county-cases-north-dakota-rise-21
North Dakota,https://www.hhs.nd.gov/news/nine-cases-measles-williams-county
North Dakota,https://www.hhs.nd.gov/news/two-cases-measles-reported-cass-county
North Dakota,https://www.valleynewslive.com/2025/05/05/hhs-confirms-three-more-measles-cases-north-dakota/
Ohio,https://baynews9.com/fl/tampa/news/2025/04/09/holmes-county-confirms-measles-case
Ohio,https://defiancecohealth.org/defiance-county-confirmed-case-of-measles/?utm_source=rss&utm_medium=rss&utm_campaign=defiance-county-confirmed-case-of-measles
Ohio,https://odh.ohio.gov/media-center/ODH-News-Releases/health-director-announces-measles-case-in-ohio
Ohio,https://odh.ohio.gov/media-center/odh-news-releases/odh-confirms-measles-outbreak-032625
Ohio,https://signalcleveland.org/cuyahoga-county-has-a-confirmed-measles-case-heres-what-to-know/
Ohio,https://spectrumnews1.com/oh/columbus/news/2025/04/16/measles-cases-in-an-ohio-county-rise-to-20
Ohio,https://www.10tv.com/article/news/health/measles-outbreak-knox-county/530-73630cf0-45db-4848-8d6b-f51eeef79a69
Ohio,https://www.knoxhealth.com/index.php/public-health-news-articles/506-two-more-confirmed-measles-cases-in-knox-county
Ohio,https://www.meadvilletribune.com/news/another-county-measles-case-confirmed-in-ashtabula-county/article_21e41bef-463f-5f2d-bb93-281cd8199309.html
Ohio,https://www.vwcs.net/post-panel/news/~board/van-wert-city-schools/post/measles-case-confirmed-in-allen-county
Oklahoma,https://oklahoma.gov/health/health-education/acute-disease-service/rash-illness/measles.html
Pennsylvania,https://eriecountypa.gov/wp-content/uploads/2025/03/Media-Release-3-30-25.pdf
Pennsylvania,https://whyy.org/articles/philadelphia-measles-chop-south-philly/
Pennsylvania,https://www.buckscounty.gov/CivicAlerts.aspx?AID=1251
Pennsylvania,https://www.montgomerycountypa.gov/civicalerts.aspx?AID=4649
Pennsylvania,https://www.pa.gov/agencies/health/newsroom/doh-alerts-pennsylvanians-of-confirmed-measles-case-in-in-lancas.html
Pennsylvania,https://www.pennlive.com/health/2025/03/2-cases-of-measles-reported-in-pa-county-heres-where.html
Pennsylvania,https://www.phila.gov/2025-04-11-health-department-issues-notification-about-potential-measles-exposure-4/
Pennsylvania,"https://www.post-gazette.com/news/health/2025/05/09/measles-cases-pa-us/stories/202505100032#:~:text=Erie%20County%20has%20had%20a,cases%20have%20resulted%20in%20hospitalizations."
Rhode Island,https://www.ri.gov/press/view/48669
Tennessee,https://www.shelbytnhealth.com/CivicAlerts.aspx?AID=476
Tennessee,https://www.tn.gov/health/news/2025/4/1/tennessee-department-of-health-confirms-three-additional-measles-cases.html
Tennessee,https://www.tn.gov/health/news/2025/4/17/tennessee-department-of-health-confirms-two-additional-measles-cases-.html
Tennessee,https://www.wate.com/news/top-stories/knox-county-health-department-on-tennessee-measles-case/
Texas,https://www.contagionlive.com/view/measles-outbreak-in-texas-expands-to-58-cases-hospitalizations-increase
Texas,https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025
Texas,https://www.fox4news.com/news/texas-measles-cases-outbreak-2025-march-18-update
Texas,https://www.fox4news.com/news/texas-measles-outbreak-2025-124-cases-identified
Vermont,https://www.healthvermont.gov/media/current-news-releases/vermont-department-health-confirms-case-measles
Virginia,https://www.vdh.virginia.gov/measles/
Virginia,https://www.vdh.virginia.gov/news/2025-news-releases/virginia-health-officials-confirm-second-2025-measles-case-in-the-state/
Washington,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/measles
Washington,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/03-18-second-measles-case
Washington,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-02-measles
Washington,https://kingcounty.gov/en/dept/dph/about-king-county/about-public-health/news/news-archive-2025/04-11-measles
Washington,https://washingtonstatestandard.com/2025/02/27/infant-in-king-county-identified-as-first-washington-measles-case-of-the-year/
